\rules only table

|(Position) |name |invocations |avgTime |totalTime |percentTime |
|99 |filter: [enlist<__exclude__>] [<__tag__>] |82 |0.012195121951219513 |1 |0.06045949214026602 |
|100 |filter: [all[shadows+tiddlers]tag<__tag__>!has[draft.of]] -[<__tag__>] -[enlist<__exclude__>] |82 |0.012195121951219513 |1 |0.06045949214026602 |
|101 |filter: [all[shadows+tiddlers]tag[$:/tags/MoreSideBar]!has[draft.of]] |67 |0.014925373134328358 |1 |0.06045949214026602 |
|102 |filter: [is[system]sort[title]] |5 |0.2 |1 |0.06045949214026602 |
|103 |filter: [list[!!text]sort[title]] |8 |0.125 |1 |0.06045949214026602 |
|104 |filter: [<newTagNameTiddler>match[]] |8 |0.125 |1 |0.06045949214026602 |
|105 |filter:  [<newTagNameInputTiddler>!match[]] ~[<newTagNameInputTiddlerQualified>]  |8 |0.125 |1 |0.06045949214026602 |
|106 |filter: [<currentTiddler>tags[]] +[limit[1]] |8 |0.125 |1 |0.06045949214026602 |
|107 |filter: [is[tiddler]is[shadow]sort[title]] |4 |0.25 |1 |0.06045949214026602 |
|108 |filter: [plugin-type[theme]sort[title]] |3 |0.3333333333333333 |1 |0.06045949214026602 |
|109 |filter: [[$:/core/ui/ControlPanel/Plugins/Installed/Plugins]] [[$:/core/ui/ControlPanel/Plugins/Installed/Themes]] [[$:/core/ui/ControlPanel/Plugins/Installed/Languages]] |4 |0.25 |1 |0.06045949214026602 |
|110 |filter: [<dropdownState>match[open]] |90 |0.011111111111111112 |1 |0.06045949214026602 |
|111 |filter: [all[current]modules[]] |31 |0.03225806451612903 |1 |0.06045949214026602 |
|112 |filter: [all[shadows+tiddlers]tag[$:/tags/Palette]sort[name]] |1 |1 |1 |0.06045949214026602 |
|113 |filter: [untagged[]!is[system]] -[tags[]] |1 |1 |1 |0.06045949214026602 |
|114 |filter: [tag[Community Editions]!sort[modified]] |1 |1 |1 |0.06045949214026602 |
|115 |filter: [tag[Community Plugins]!sort[modified]] |1 |1 |1 |0.06045949214026602 |
|116 |filter: [tag[Community Themes]!sort[modified]] |1 |1 |1 |0.06045949214026602 |
|117 |filter: [tag[Community Palettes]!sort[modified]] |1 |1 |1 |0.06045949214026602 |
|118 |filter: [tag[Other Resources]!sort[modified]] |1 |1 |1 |0.06045949214026602 |
|119 |filter: [tag[Articles]!sort[modified]] |1 |1 |1 |0.06045949214026602 |
|120 |filter: [all[shadows+tiddlers]tag[$:/tags/StartupAction/Browser]!has[draft.of]] |1 |0 |0 |0 |
|121 |filter: HelloThere GettingStarted Community |1 |0 |0 |0 |
|122 |filter: [list[$:/StoryList]] +[field:title[$:/ControlPanel]] |102 |0 |0 |0 |
|123 |filter:   |61 |0 |0 |0 |
|124 |filter: [all[shadows+tiddlers]tag[$:/tags/BelowStory]!has[draft.of]] |101 |0 |0 |0 |
|125 |filter: [all[shadows+tiddlers]tag[$:/tags/MenuBar]!has[draft.of]is-dropdown[yes]] |101 |0 |0 |0 |
|126 |filter: [list[$:/StoryList]] +[field:title[$:/AdvancedSearch]] |1 |0 |0 |0 |
|127 |filter: [list[$:/StoryList]] +[field:title[$:/Manager]] |1 |0 |0 |0 |
|128 |filter: [list[$:/StoryList]] +[field:title[$:/TagManager]] |6 |0 |0 |0 |
|129 |filter: [has[draft.of]sort[title]] |1 |0 |0 |0 |
|130 |filter: [all[shadows+tiddlers]tag[$:/tags/MoreSideBar/Plugins]!has[draft.of]] |4 |0 |0 |0 |
|131 |filter: [all[shadows+tiddlers]tag[$:/tags/ControlPanel]!has[draft.of]] |64 |0 |0 |0 |
|132 |filter: [all[shadows+tiddlers]tag[$:/tags/ControlPanel/Settings]] |3 |0 |0 |0 |
|133 |filter: [all[shadows+tiddlers]tag[$:/tags/ToolbarButtonStyle]] |3 |0 |0 |0 |
|134 |filter: [all[shadows+tiddlers]tag[$:/tags/ControlPanel/Info]!has[draft.of]] |20 |0 |0 |0 |
|135 |filter:  [<newTagNameSelectionTiddler>!match[]] ~[<newTagNameSelectionTiddlerQualified>]  |8 |0 |0 |0 |
|136 |filter:  [{$:/config/AutoFocus}match[tags]then[true]] ~[[false]]  |8 |0 |0 |0 |
|137 |filter:  [<newTagNameTiddler>get[text]]  |8 |0 |0 |0 |
|138 |filter:  [<saveTiddler>escapecss[]]  |8 |0 |0 |0 |
|139 |filter: title tags text type fields |4 |0 |0 |0 |
